Shipment_ID,Date,Origin_Port,Destination_Port,Volume_TEU,Distance_nm,Carrier_Reliability_Score,Weather_Condition,Geopolitical_Risk_Score,Fuel_Price_Index,Product_Category,Transport_Mode,Disruption_Occurred,Lead_Time_Days,Predicted_ETA_Date,Predicted_ETA_Days,Transit_Port
SC-41551,2024-08-08,Barcelona,Busan,5679,2131,0.6978,Rain,1.9,119.57,Electronics,Sea,0,4.9,2024-08-12 21:36:00,4.9,Marsaxlokk
SC-21394,2024-08-25,Shanghai,Singapore,8751,9290,0.6482,Clear,3.7,102.59,Auto Parts,Sea,0,21.5,2024-09-15 12:00:00,21.5,Dubai
SC-79092,2024-04-03,Marsilya,Ningbo,3803,11582,0.8856,Clear,3.0,126.69,Electronics,Sea,0,26.8,2024-04-29 19:12:00,26.8,Dubai
SC-13890,2024-12-03,Dubai,Valencia,14737,8516,0.9497,Rain,1.6,86.11,Electronics,Sea,1,25.6,2024-12-28 14:24:00,25.6,Ambarli
SC-51606,2024-09-25,Felixstowe,Tokyo,2545,11341,0.8813,Clear,1.1,148.7,Auto Parts,Sea,0,26.3,2024-10-21 07:12:00,26.3,Piraeus
SC-90038,2024-06-19,New York,Trieste,2557,7906,0.9234,Clear,4.7,92.88,Auto Parts,Sea,0,18.3,2024-07-07 07:12:00,18.3,Mersin
SC-97313,2024-04-03,Barcelona,Shanghai,8188,2807,0.9544,Clear,1.5,99.28,Auto Parts,Sea,0,6.5,2024-04-09 12:00:00,6.5,Ambarli
SC-20627,2024-05-28,Dubai,Busan,6772,2050,0.9563,Clear,3.8,146.81,Electronics,Sea,0,4.7,2024-06-01 16:48:00,4.7,Piraeus
SC-18792,2024-04-21,Felixstowe,İzmir,7212,7277,0.5573,Clear,3.6,93.06,Auto Parts,Sea,0,16.8,2024-05-07 19:12:00,16.8,Ambarli
SC-83969,2024-02-24,Hamburg,Marsilya,6163,2055,0.7282,Clear,2.4,91.91,Machinery,Sea,1,6.2,2024-03-01 04:48:00,6.2,Singapore
SC-53001,2024-12-02,Atina,Los Angeles,6120,5664,0.5001,Rain,1.7,136.32,Textiles,Sea,0,13.1,2024-12-15 02:24:00,13.1,Marsaxlokk
SC-86552,2024-04-25,Ningbo,Shanghai,8582,2743,0.7532,Fog,1.7,97.59,Textiles,Sea,1,8.3,2024-05-03 07:12:00,8.3,Trieste
SC-33897,2024-05-22,Rotterdam,Ningbo,9560,8030,0.9621,Clear,3.3,86.63,Machinery,Sea,0,18.6,2024-06-09 14:24:00,18.6,Barcelona
SC-78148,2024-07-19,Atina,Los Angeles,6625,10131,0.5996,Clear,3.2,95.87,Textiles,Sea,0,23.5,2024-08-11 12:00:00,23.5,İzmir
SC-33483,2024-06-28,Dubai,Felixstowe,17254,2079,0.8199,Clear,4.5,142.19,Electronics,Sea,0,4.8,2024-07-02 19:12:00,4.8,Piraeus
SC-58555,2024-07-20,Hamburg,Antwerp,10987,4966,0.8222,Clear,3.6,99.62,Auto Parts,Sea,0,11.5,2024-07-31 12:00:00,11.5,Piraeus
SC-27159,2024-12-29,Mersin,Tokyo,3680,5728,0.5802,Clear,4.3,128.65,Auto Parts,Sea,0,13.3,2025-01-11 07:12:00,13.3,New York
SC-90077,2024-02-22,Barcelona,Felixstowe,4269,6536,0.6193,Clear,1.1,107.66,Auto Parts,Sea,0,15.1,2024-03-08 02:24:00,15.1,Singapore
SC-45920,2024-06-28,Ningbo,Antwerp,6290,2125,0.731,Rain,3.7,98.35,Machinery,Sea,0,4.9,2024-07-02 21:36:00,4.9,Dubai
SC-77121,2024-11-08,Marsilya,Felixstowe,3353,7813,0.5941,Storm,1.9,90.08,Machinery,Sea,1,23.5,2024-12-01 12:00:00,23.5,New York
SC-79479,2024-11-03,Hamburg,İzmir,8903,10410,0.7925,Clear,2.0,148.05,Electronics,Sea,0,24.1,2024-11-27 02:24:00,24.1,Singapore
SC-99475,2024-05-16,New York,Atina,14086,2947,0.7423,Clear,3.9,116.48,Machinery,Sea,0,6.8,2024-05-22 19:12:00,6.8,Tanger Med
SC-29457,2024-06-30,Trieste,Dubai,6813,2594,0.7596,Clear,4.2,88.03,Auto Parts,Sea,0,6.0,2024-07-06 00:00:00,6.0,Piraeus
SC-76557,2024-01-01,Dubai,Dubai,4560,7030,0.5672,Clear,2.5,93.92,Electronics,Sea,0,16.3,2024-01-17 07:12:00,16.3,Piraeus
SC-87189,2024-02-13,Ambarli,Barcelona,9538,2140,0.7586,Clear,4.2,108.51,Electronics,Sea,0,5.0,2024-02-18 00:00:00,5.0,Jebel Ali
SC-88953,2024-08-14,Barcelona,Felixstowe,9891,5055,0.5247,Rain,2.8,118.09,Auto Parts,Sea,0,11.7,2024-08-25 16:48:00,11.7,Ambarli
SC-62995,2024-11-26,Barcelona,Valencia,3290,11822,0.9408,Rain,4.4,92.73,Chemicals,Sea,0,27.4,2024-12-23 09:36:00,27.4,Atina
SC-50757,2024-04-07,Marsilya,İzmir,8752,11068,0.6716,Clear,1.1,99.44,Auto Parts,Sea,0,25.6,2024-05-02 14:24:00,25.6,Barcelona
SC-19692,2024-07-26,Barcelona,Valencia,7389,6205,0.9282,Clear,1.3,134.86,Electronics,Sea,0,14.4,2024-08-09 09:36:00,14.4,Tanger Med
SC-55758,2024-09-21,Trieste,Ningbo,12321,7171,0.8508,Fog,4.1,109.22,Chemicals,Sea,0,16.6,2024-10-07 14:24:00,16.6,Ambarli
SC-82409,2024-10-14,New York,Barcelona,9715,9782,0.8831,Rain,3.5,80.1,Auto Parts,Sea,0,22.6,2024-11-05 14:24:00,22.6,Jebel Ali
SC-81211,2024-09-27,Mersin,Atina,2741,4660,0.6573,Clear,3.2,83.78,Auto Parts,Sea,0,10.8,2024-10-07 19:12:00,10.8,Singapore
SC-75697,2024-05-19,Ambarli,Rotterdam,10519,8856,0.6139,Clear,3.5,110.75,Chemicals,Sea,0,20.5,2024-06-08 12:00:00,20.5,Dubai
SC-47065,2024-08-24,Antwerp,Felixstowe,8136,8089,0.7034,Rain,4.7,84.21,Chemicals,Sea,0,18.7,2024-09-11 16:48:00,18.7,Atina
SC-42606,2024-03-12,Tokyo,Atina,2695,7318,0.5121,Clear,3.6,92.17,Textiles,Sea,0,16.9,2024-03-28 21:36:00,16.9,Marsaxlokk
SC-21534,2024-06-03,İzmir,Mersin,9808,4552,0.9594,Clear,3.6,130.95,Chemicals,Sea,0,10.5,2024-06-13 12:00:00,10.5,Barcelona
SC-50397,2024-07-08,Antwerp,Barcelona,7638,5611,0.6935,Clear,4.0,113.63,Machinery,Sea,0,13.0,2024-07-21 00:00:00,13.0,New York
SC-11016,2024-09-24,Ambarli,Rotterdam,8241,10062,0.9943,Rain,4.5,113.77,Chemicals,Sea,0,23.3,2024-10-17 07:12:00,23.3,Piraeus
SC-99789,2024-11-16,Trieste,Ningbo,6986,3040,0.8807,Clear,2.0,121.88,Electronics,Sea,0,7.0,2024-11-23 00:00:00,7.0,Jebel Ali
SC-65591,2024-04-16,Antwerp,Rotterdam,2958,10506,0.5403,Clear,3.5,135.2,Chemicals,Sea,0,24.3,2024-05-10 07:12:00,24.3,Marsaxlokk
SC-99812,2024-08-19,Tokyo,Valencia,6580,9603,0.8301,Fog,3.3,91.1,Auto Parts,Sea,0,22.2,2024-09-10 04:48:00,22.2,Barcelona
SC-33247,2024-02-11,Singapore,Ningbo,4020,6172,0.6354,Fog,1.5,92.11,Machinery,Sea,1,18.6,2024-02-29 14:24:00,18.6,İzmir
SC-34300,2024-07-08,Felixstowe,Mersin,8971,4946,0.6219,Rain,3.1,88.5,Chemicals,Sea,1,14.9,2024-07-22 21:36:00,14.9,Barcelona
SC-84065,2024-05-18,Dubai,İzmir,4014,5236,0.6283,Clear,1.3,145.58,Machinery,Sea,0,12.1,2024-05-30 02:24:00,12.1,Ambarli
SC-92798,2024-04-12,İzmir,Ningbo,6308,5680,0.958,Clear,1.7,120.41,Textiles,Sea,0,13.1,2024-04-25 02:24:00,13.1,Tanger Med
SC-19268,2024-06-19,Hamburg,Los Angeles,7617,6807,0.75,Clear,4.7,86.48,Machinery,Sea,0,15.8,2024-07-04 19:12:00,15.8,Marsaxlokk
SC-96807,2024-12-16,Busan,Marsilya,16406,3537,0.8347,Clear,1.5,95.45,Auto Parts,Sea,0,8.2,2024-12-24 04:48:00,8.2,Jebel Ali
SC-22185,2024-09-29,Singapore,Ningbo,5835,5872,0.6405,Fog,3.3,130.79,Textiles,Sea,0,13.6,2024-10-12 14:24:00,13.6,Trieste
SC-73704,2024-08-08,Mersin,Shanghai,6259,3867,0.7615,Fog,2.3,82.03,Chemicals,Sea,1,11.6,2024-08-19 14:24:00,11.6,Ambarli
SC-96779,2024-07-31,Shanghai,Rotterdam,9485,3161,0.6751,Clear,3.2,130.8,Machinery,Sea,0,7.3,2024-08-07 07:12:00,7.3,Trieste
SC-49099,2024-12-06,Valencia,Marsilya,6122,5920,0.6606,Clear,1.9,143.8,Textiles,Sea,0,13.7,2024-12-19 16:48:00,13.7,Tanger Med
SC-18571,2024-02-25,Los Angeles,Shanghai,13835,7693,0.6235,Clear,2.8,83.95,Chemicals,Sea,1,23.2,2024-03-19 04:48:00,23.2,Mersin
SC-48044,2024-12-07,Singapore,New York,18510,5882,0.7045,Clear,4.5,93.05,Chemicals,Sea,0,13.6,2024-12-20 14:24:00,13.6,Singapore
SC-61214,2024-04-11,Antwerp,New York,8839,9738,0.83,Clear,2.5,80.17,Machinery,Sea,0,22.5,2024-05-03 12:00:00,22.5,Barcelona
SC-71228,2024-07-10,Ningbo,Busan,14214,10456,0.611,Clear,2.4,87.63,Machinery,Sea,0,24.2,2024-08-03 04:48:00,24.2,Marsaxlokk
SC-58984,2024-11-05,Rotterdam,Shanghai,5377,8331,0.9827,Clear,2.8,123.19,Textiles,Sea,0,19.3,2024-11-24 07:12:00,19.3,Jebel Ali
SC-50774,2024-07-18,Barcelona,Tokyo,16530,7182,0.5623,Fog,1.4,83.14,Machinery,Sea,1,21.6,2024-08-08 14:24:00,21.6,Tanger Med
SC-12568,2024-08-20,Felixstowe,Busan,16542,11494,0.7401,Clear,2.5,109.81,Chemicals,Sea,0,26.6,2024-09-15 14:24:00,26.6,New York
SC-72592,2024-08-14,Busan,Rotterdam,13414,11386,0.5425,Clear,1.0,115.24,Auto Parts,Sea,0,26.4,2024-09-09 09:36:00,26.4,Piraeus
SC-77563,2024-05-18,Hamburg,Mersin,7727,3526,0.5113,Rain,3.0,143.46,Textiles,Sea,1,10.6,2024-05-28 14:24:00,10.6,Jebel Ali
SC-12695,2024-12-09,Mersin,Marsilya,2642,10131,0.9613,Clear,4.4,113.2,Auto Parts,Sea,0,23.5,2025-01-01 12:00:00,23.5,Dubai
SC-58190,2024-10-31,Barcelona,Dubai,14342,6394,0.9052,Clear,3.2,89.98,Auto Parts,Sea,1,19.2,2024-11-19 04:48:00,19.2,New York
SC-15258,2024-05-28,Felixstowe,Tokyo,8597,3158,0.8471,Clear,3.4,100.25,Chemicals,Sea,0,7.3,2024-06-04 07:12:00,7.3,Marsaxlokk
SC-97538,2024-04-24,Los Angeles,Marsilya,5400,6367,0.9326,Rain,1.1,127.05,Auto Parts,Sea,0,14.7,2024-05-08 16:48:00,14.7,Mersin
SC-49504,2024-03-03,Tokyo,Singapore,2518,6630,0.9014,Rain,4.4,87.85,Electronics,Sea,0,15.3,2024-03-18 07:12:00,15.3,New York
SC-43159,2024-04-13,Hamburg,Rotterdam,5833,5513,0.8236,Rain,2.5,96.22,Textiles,Sea,0,12.8,2024-04-25 19:12:00,12.8,Atina
SC-23986,2024-12-04,New York,Busan,5611,3144,0.9237,Clear,4.9,149.7,Chemicals,Sea,0,7.3,2024-12-11 07:12:00,7.3,Singapore
SC-71858,2024-12-24,İzmir,Felixstowe,9107,2068,0.6954,Rain,1.5,80.39,Machinery,Sea,0,4.8,2024-12-28 19:12:00,4.8,Dubai
SC-22666,2024-06-04,Ningbo,Tokyo,3589,5717,0.7764,Clear,4.8,90.65,Chemicals,Sea,0,13.2,2024-06-17 04:48:00,13.2,New York
SC-48660,2024-09-29,Barcelona,Los Angeles,8553,11018,0.8882,Clear,3.5,139.06,Machinery,Sea,0,25.5,2024-10-24 12:00:00,25.5,İzmir
SC-13561,2024-01-06,Rotterdam,New York,6048,11361,0.5424,Storm,1.2,87.1,Chemicals,Sea,1,34.2,2024-02-09 04:48:00,34.2,İzmir
SC-36854,2024-05-26,Los Angeles,Dubai,8988,11175,0.9293,Clear,4.9,82.35,Electronics,Sea,0,25.9,2024-06-20 21:36:00,25.9,Singapore
SC-74505,2024-07-02,Barcelona,Dubai,5379,11644,0.5784,Fog,1.1,88.49,Textiles,Sea,0,27.0,2024-07-29 00:00:00,27.0,Jebel Ali
SC-62251,2024-01-28,Atina,Trieste,9004,11231,0.9323,Rain,3.9,128.55,Auto Parts,Sea,0,26.0,2024-02-23 00:00:00,26.0,Ambarli
SC-32662,2024-02-07,Los Angeles,Felixstowe,5428,6723,0.6557,Clear,4.6,149.52,Chemicals,Sea,0,15.6,2024-02-22 14:24:00,15.6,Barcelona
SC-18392,2024-04-28,Dubai,Ambarli,7007,6213,0.6634,Clear,1.7,121.34,Textiles,Sea,0,14.4,2024-05-12 09:36:00,14.4,İzmir
SC-40535,2024-10-19,Valencia,Rotterdam,6661,8413,0.537,Clear,2.4,88.7,Textiles,Sea,0,19.5,2024-11-07 12:00:00,19.5,New York
SC-88603,2024-08-31,Trieste,Ambarli,8349,5466,0.9429,Rain,3.2,92.86,Textiles,Sea,1,16.4,2024-09-16 09:36:00,16.4,Singapore
SC-62256,2024-03-08,Busan,İzmir,11083,5026,0.5873,Clear,3.7,117.64,Textiles,Sea,0,11.6,2024-03-19 14:24:00,11.6,Dubai
SC-99135,2024-08-01,Hamburg,Mersin,6293,8998,0.815,Rain,4.5,130.1,Textiles,Sea,0,20.8,2024-08-21 19:12:00,20.8,New York
SC-45222,2024-08-05,Hamburg,Ningbo,3538,4747,0.822,Clear,4.0,126.4,Auto Parts,Sea,0,11.0,2024-08-16 00:00:00,11.0,Dubai
SC-87373,2024-06-25,Ningbo,Dubai,14458,9271,0.6406,Clear,2.5,120.23,Auto Parts,Sea,0,21.5,2024-07-16 12:00:00,21.5,Ambarli
SC-89575,2024-10-25,Antwerp,Ambarli,9159,8171,0.9928,Clear,4.3,149.04,Chemicals,Sea,0,18.9,2024-11-12 21:36:00,18.9,İzmir
SC-94651,2024-06-12,Dubai,Mersin,2724,5855,0.5321,Clear,4.9,93.86,Machinery,Sea,1,17.6,2024-06-29 14:24:00,17.6,Dubai
SC-73335,2024-02-27,Rotterdam,Ningbo,6725,10753,0.8039,Rain,1.9,92.1,Chemicals,Sea,0,24.9,2024-03-22 21:36:00,24.9,Mersin
SC-20965,2024-09-25,İzmir,Singapore,5996,4203,0.7398,Clear,1.3,140.13,Textiles,Sea,0,9.7,2024-10-04 16:48:00,9.7,Jebel Ali
SC-34538,2024-11-03,Atina,Dubai,5586,5419,0.6227,Clear,2.7,100.36,Machinery,Sea,0,12.5,2024-11-15 12:00:00,12.5,Ambarli
SC-80592,2024-02-27,Los Angeles,Dubai,8910,3144,0.5818,Clear,4.5,103.28,Chemicals,Sea,0,7.3,2024-03-05 07:12:00,7.3,Piraeus
SC-18110,2024-10-14,Felixstowe,Singapore,6631,4699,0.8685,Clear,1.6,118.41,Machinery,Sea,0,10.9,2024-10-24 21:36:00,10.9,Mersin
SC-89309,2024-04-14,Felixstowe,Antwerp,11668,11743,0.9582,Clear,4.5,106.69,Auto Parts,Sea,0,27.2,2024-05-11 04:48:00,27.2,New York
SC-37266,2024-08-15,New York,Dubai,9720,2560,0.5538,Rain,5.0,100.13,Textiles,Sea,0,5.9,2024-08-20 21:36:00,5.9,Ambarli
SC-62992,2024-09-03,Trieste,Tokyo,9378,3187,0.597,Clear,1.2,144.2,Machinery,Sea,0,7.4,2024-09-10 09:36:00,7.4,İzmir
SC-92948,2024-07-06,Dubai,Dubai,4719,5133,0.9931,Clear,3.0,89.05,Electronics,Sea,0,11.9,2024-07-17 21:36:00,11.9,Ambarli
SC-16910,2024-03-23,Trieste,İzmir,8025,5411,0.5075,Clear,2.3,108.3,Textiles,Sea,0,12.5,2024-04-04 12:00:00,12.5,Barcelona
SC-10206,2024-07-04,Ningbo,Marsilya,9122,3689,0.7541,Clear,2.6,80.21,Auto Parts,Sea,0,8.5,2024-07-12 12:00:00,8.5,New York
SC-97054,2024-09-08,Tokyo,Tokyo,6243,6407,0.7581,Clear,2.8,136.52,Auto Parts,Sea,0,14.8,2024-09-22 19:12:00,14.8,İzmir
SC-97897,2024-12-20,Antwerp,Atina,7722,4423,0.6316,Clear,4.0,91.79,Chemicals,Sea,0,10.2,2024-12-30 04:48:00,10.2,Jebel Ali
SC-33419,2024-08-25,İzmir,Trieste,9285,3369,0.8315,Clear,3.4,134.11,Electronics,Sea,0,7.8,2024-09-01 19:12:00,7.8,Singapore
SC-60636,2024-12-25,New York,Mersin,2646,8007,0.9725,Clear,4.8,90.4,Machinery,Sea,0,18.5,2025-01-12 12:00:00,18.5,Marsaxlokk
SC-60015,2024-07-02,Mersin,Atina,11438,8728,0.7251,Clear,2.3,109.17,Chemicals,Sea,1,26.3,2024-07-28 07:12:00,26.3,Ambarli
SC-64268,2024-10-10,Dubai,Dubai,10157,10772,0.8747,Rain,3.2,130.97,Auto Parts,Sea,1,32.4,2024-11-11 09:36:00,32.4,Dubai
SC-97939,2024-07-28,Valencia,Valencia,9843,2976,0.823,Clear,4.3,98.96,Machinery,Sea,0,6.9,2024-08-03 21:36:00,6.9,Trieste
SC-28141,2024-10-30,Shanghai,Ambarli,4218,6272,0.7365,Clear,2.5,101.97,Auto Parts,Sea,0,14.5,2024-11-13 12:00:00,14.5,Dubai
SC-90356,2024-10-22,Los Angeles,Rotterdam,5108,8497,0.5249,Clear,2.9,126.71,Auto Parts,Sea,0,19.7,2024-11-10 16:48:00,19.7,Atina
SC-81910,2024-04-06,Tokyo,Barcelona,8627,2118,0.8709,Fog,3.7,93.14,Electronics,Sea,0,4.9,2024-04-10 21:36:00,4.9,Jebel Ali
SC-66044,2024-07-26,Ningbo,Ambarli,6988,3542,0.6816,Rain,4.4,146.62,Textiles,Sea,0,8.2,2024-08-03 04:48:00,8.2,Mersin
SC-77214,2024-05-16,Singapore,Busan,2830,6862,0.6122,Clear,2.7,93.22,Machinery,Sea,1,20.6,2024-06-05 14:24:00,20.6,Atina
SC-43827,2024-07-02,New York,Singapore,9528,5043,0.9741,Clear,3.1,132.5,Electronics,Sea,0,11.7,2024-07-13 16:48:00,11.7,Piraeus
SC-65820,2024-03-16,Felixstowe,Ambarli,5722,2972,0.8868,Rain,4.9,136.18,Auto Parts,Sea,0,6.9,2024-03-22 21:36:00,6.9,Piraeus
SC-72623,2024-10-13,Dubai,Valencia,8578,2915,0.9811,Clear,1.2,106.21,Auto Parts,Sea,0,6.7,2024-10-19 16:48:00,6.7,Dubai
SC-91734,2024-05-21,New York,Busan,4786,8621,0.6281,Hurricane,2.8,90.94,Electronics,Sea,1,25.9,2024-06-15 21:36:00,25.9,Marsaxlokk
SC-85450,2024-08-24,Valencia,Hamburg,8650,11629,0.9179,Clear,3.5,91.61,Machinery,Sea,0,26.9,2024-09-19 21:36:00,26.9,New York
SC-32299,2024-01-25,Los Angeles,Marsilya,4368,2586,0.8039,Clear,1.0,148.98,Auto Parts,Sea,1,7.8,2024-02-01 19:12:00,7.8,New York
SC-53585,2024-10-16,Antwerp,Felixstowe,7272,10542,0.9908,Clear,3.4,130.78,Machinery,Sea,0,24.4,2024-11-09 09:36:00,24.4,İzmir
SC-74044,2024-03-07,Mersin,Ambarli,19246,7625,0.9732,Clear,1.2,111.5,Electronics,Sea,0,17.7,2024-03-24 16:48:00,17.7,Trieste
SC-52557,2024-09-06,Rotterdam,Barcelona,8778,9354,0.9865,Hurricane,4.4,98.01,Auto Parts,Sea,1,28.1,2024-10-04 02:24:00,28.1,Mersin
SC-59080,2024-04-27,Hamburg,Valencia,4255,6591,0.9759,Rain,4.2,81.32,Chemicals,Sea,0,15.3,2024-05-12 07:12:00,15.3,Atina
SC-12693,2024-03-13,Los Angeles,Trieste,5672,4562,0.5038,Clear,1.1,126.93,Chemicals,Sea,0,10.6,2024-03-23 14:24:00,10.6,İzmir
SC-79163,2024-10-08,Felixstowe,Los Angeles,4286,8839,0.8705,Clear,1.2,146.98,Auto Parts,Sea,0,20.5,2024-10-28 12:00:00,20.5,Tanger Med
SC-35939,2024-12-25,Shanghai,Mersin,13051,10464,0.636,Rain,4.0,87.48,Textiles,Sea,0,24.2,2025-01-18 04:48:00,24.2,Jebel Ali
SC-58925,2024-01-10,Antwerp,Los Angeles,8426,4927,0.8525,Clear,2.5,132.81,Auto Parts,Sea,1,14.8,2024-01-24 19:12:00,14.8,İzmir
SC-52941,2024-07-29,Shanghai,İzmir,8069,8195,0.9903,Clear,3.3,90.73,Auto Parts,Sea,0,19.0,2024-08-17 00:00:00,19.0,Atina
SC-31834,2024-11-18,Dubai,Rotterdam,5581,8276,0.5197,Clear,2.1,135.45,Auto Parts,Sea,0,19.2,2024-12-07 04:48:00,19.2,Tanger Med
SC-28047,2024-05-31,Mersin,Valencia,9261,11956,0.7835,Clear,1.7,105.94,Electronics,Sea,0,27.7,2024-06-27 16:48:00,27.7,Piraeus
